Codigo,SubElemento,Pago,RP_Pago
0181,31900101,"R$ 19.421.282,61","R$ 0,00"
0181,31900101,"R$ 0,00","R$ 0,00"
0181,31900101,"R$ 1.508.941,00","R$ 0,00"
0181,31900101,"R$ 0,00","R$ 0,00"
0181,31900101,"R$ 40.553.603,61","R$ 0,00"
0181,31900106,"R$ 138.712,24","R$ 0,00"
0181,31900106,"R$ 3.289.432,00","R$ 0,00"
0181,31900106,"R$ 3.204.910,10","R$ 0,00"
0181,31900109,"R$ 7.806.658,75","R$ 0,00"
0181,31900116,"R$ 1.025.682,46","R$ 0,00"
0181,31900134,"R$ 746.229,30","R$ 0,00"
0181,31900187,"R$ 206.886,05","R$ 0,00"
0181,31900301,"R$ 13.153.137,45","R$ 0,00"
0181,31900303,"R$ 1.218.648,90","R$ 0,00"
0181,31900386,"R$ 121.394,56","R$ 0,00"
20TP,31900401,"R$ 3.245.826,75","R$ 0,00"
20TP,31900412,"R$ 69.002,94","R$ 0,00"
20TP,31900413,"R$ 307.888,59","R$ 0,00"
20TP,31900414,"R$ 25.343,38","R$ 0,00"
20TP,31900416,"R$ 0,00","R$ 0,00"
20TP,31900706,"R$ 462.446,42","R$ 0,00"
20TP,31901101,"R$ 87.756.340,19","R$ 0,00"
20TP,31901104,"R$ 23.996,80","R$ 0,00"
20TP,31901105,"R$ 267.935,90","R$ 0,00"
20TP,31901106,"R$ 165.496,57","R$ 0,00"
20TP,31901107,"R$ 3.037.569,07","R$ 0,00"
20TP,31901109,"R$ 14.498,43","R$ 0,00"
20TP,31901110,"R$ 1.751.921,05","R$ 0,00"
20TP,31901131,"R$ 65.072.953,80","R$ 0,00"
20TP,31901133,"R$ 1.237.757,01","R$ 0,00"
20TP,31901136,"R$ 3.448.786,40","R$ 0,00"
20TP,31901137,"R$ 3.031.650,44","R$ 0,00"
20TP,31901141,"R$ 0,00","R$ 0,00"
20TP,31901142,"R$ 633.862,37","R$ 0,00"
20TP,31901143,"R$ 13.114.976,04","R$ 0,00"
20TP,31901145,"R$ 3.222.059,99","R$ 0,00"
20TP,31901146,"R$ 97.196,77","R$ 0,00"
20TP,31901301,"R$ 6.282,13","R$ 0,00"
20TP,31901301,"R$ 0,00","R$ 1.570,23"
20TP,31901632,"R$ 310.200,97","R$ 0,00"
20TP,31901636,"R$ 638.468,68","R$ 0,00"
20TP,31901644,"R$ 8.812,58","R$ 0,00"
0005,31909101,"R$ 470.403,01","R$ 0,00"
20TP,31909114,"R$ 74.510,21","R$ 0,00"
0181,31909115,"R$ 38.112,15","R$ 0,00"
0181,31909116,"R$ 117.439,30","R$ 0,00"
0005,31909123,"R$ 359.925,15","R$ 0,00"
0005,31909197,"R$ 3.502.243,91","R$ 0,00"
0181,31909201,"R$ 152.972,13","R$ 0,00"
0181,31909203,"R$ 55.465,36","R$ 0,00"
20TP,31909211,"R$ 455.822,89","R$ 0,00"
20TP,31909213,"R$ 26.844,17","R$ 0,00"
20TP,31909296,"R$ 55.555,13","R$ 0,00"
20TP,31909296,"R$ 0,00","R$ 0,00"
20TP,31909416,"R$ 32.879,92","R$ 0,00"
20TP,31909601,"R$ 0,00","R$ 0,00"
20TP,31909602,"R$ 48.450,16","R$ 0,00"
20TP,31911302,"R$ 942.404,28","R$ 0,00"
09HB,31911303,"R$ 37.623.466,52","R$ 0,00"
09HB,31919213,"R$ 0,00","R$ 0,00"
20TP,31919213,"R$ 215,37","R$ 0,00"
0005,33909106,"R$ 36.229,31","R$ 0,00"
0536,33905901,"R$ 10.494,00","R$ 0,00"
2004,33909293,"R$ 103.340,49","R$ 0,00"
2004,33909308,"R$ 1.426.121,13","R$ 0,00"
212B,33900421,"R$ 217.946,48","R$ 0,00"
212B,33900422,"R$ 17.157,45","R$ 0,00"
212B,33900423,"R$ 38.029,70","R$ 0,00"
212B,33900801,"R$ 21.923,49","R$ 0,00"
212B,33900803,"R$ 82.232,88","R$ 0,00"
212B,33900805,"R$ 15.162,75","R$ 0,00"
212B,33900809,"R$ 533.405,70","R$ 0,00"
212B,33904601,"R$ 7.150.351,28","R$ 0,00"
212B,33904901,"R$ 2.663.842,35","R$ 0,00"
212B,33909208,"R$ 1.250,57","R$ 0,00"
212B,33909249,"R$ 700,56","R$ 0,00"
212B,33909296,"R$ 1.360,00","R$ 0,00"
00M0,33504108,"R$ 0,00","R$ 0,00"
00PW,33504108,"R$ 24.200,23","R$ 0,00"
00PW,33504108,"R$ 24.320,06","R$ 0,00"
00PW,33504108,"R$ 0,00","R$ 2.000,00"
00PW,33504108,"R$ 0,00","R$ 0,00"
00PW,33504108,"R$ 250,00","R$ 0,00"
00PW,33504108,"R$ 1.500,00","R$ 0,00"
00PW,33504108,"R$ 4.448,00","R$ 0,00"
00PW,33504108,"R$ 798,00","R$ 0,00"
00PW,33504108,"R$ 2.750,00","R$ 0,00"
00PW,33504108,"R$ 1.350,00","R$ 0,00"
00PW,33504108,"R$ 500,00","R$ 0,00"
00PW,33504108,"R$ 0,00","R$ 0,00"
00PW,33504108,"R$ 4.770,00","R$ 0,00"
00PW,33504108,"R$ 1.500,00","R$ 0,00"
00PW,33504108,"R$ 800,00","R$ 0,00"
00PW,33504108,"R$ 245,00","R$ 0,00"
20RK,33504108,"R$ 0,00","R$ 0,00"
00OQ,33804101,"R$ 1.324,70","R$ 0,00"
00OQ,33804101,"R$ 5.390,99","R$ 0,00"
