Codigo,Despesa,UO,orgao_ug_desp,UG,ug_desp,Valor,NaoProc
31900101,PROVENTOS - PESSOAL CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 5.769.794,19","R$ 0,00"
31900106,13 SALARIO - PESSOAL CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 6.319,98","R$ 0,00"
31900109,ADICIONAL POR TEMPO DE SERVICO PESSOAL CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 789.915,82","R$ 0,00"
31900116,APOSENT ORIGINARIA DE SUBSIDIOS - PESSOAL CIV,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 93.243,86","R$ 0,00"
31900134,VANTAGENS PERMANENTES SENT.TRANSIT.JULG.CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 68.374,93","R$ 0,00"
31900187,COMPLEMENTACAO DE APOSENTADORIAS - PES CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 19.083,11","R$ 0,00"
31900301,PENSOES CIVIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 1.218.719,58","R$ 0,00"
31900303,13 SALARIO - PENSOES CIVIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 4.191,62","R$ 0,00"
31900386,COMPLEMENTACAO DE PENSOES - PESSOAL CIVIL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 9.581,94","R$ 0,00"
31900401,SALARIO CONTRATO TEMPORARIO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 398.959,84","R$ 0,00"
